birdID,CollectionDate,State,Host,Subtype
0,2/1/2013,Massachusetts,Yellow-LeggedGull,-N/A-
1,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
2,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
3,12/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
4,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
5,4/17/2013,Massachusetts,Yellow-LeggedGull,-N/A-
6,10/11/2012,Massachusetts,Yellow-LeggedGull,H16N3
7,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
8,2/1/2013,Massachusetts,Yellow-LeggedGull,-N/A-
9,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
10,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
11,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
12,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
13,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
14,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
15,9/21/2012,Massachusetts,Yellow-LeggedGull,-N/A-
16,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
17,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
18,2/20/2013,Massachusetts,Yellow-LeggedGull,-N/A-
19,2/20/2013,Massachusetts,Yellow-LeggedGull,-N/A-
20,10/11/2012,Massachusetts,Yellow-LeggedGull,H13N6
21,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
22,11/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
23,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
24,2/20/2013,Massachusetts,Yellow-LeggedGull,-N/A-
25,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
26,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
27,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
28,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
29,2/15/2013,Massachusetts,Yellow-LeggedGull,-N/A-
30,10/22/2012,Massachusetts,Yellow-LeggedGull,-N/A-
31,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
32,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
33,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
34,4/5/2013,Alaska,Mallard,-N/A-
35,12/14/2012,Alaska,Mallard,-N/A-
36,4/8/2013,Alaska,Mallard,-N/A-
37,4/7/2013,Alaska,Mallard,-N/A-
38,4/5/2013,Alaska,Mallard,-N/A-
39,12/14/2012,Alaska,Mallard,-N/A-
40,12/14/2012,Alaska,Mallard,-N/A-
41,4/3/2013,Alaska,Mallard,-N/A-
42,12/14/2012,Alaska,Mallard,-N/A-
43,12/14/2012,Alaska,Mallard,-N/A-
44,4/7/2013,Alaska,Mallard,-N/A-
45,12/14/2012,Alaska,Mallard,-N/A-
46,4/7/2013,Alaska,Mallard,-N/A-
47,4/7/2013,Alaska,Mallard,-N/A-
48,12/14/2012,Alaska,Mallard,-N/A-
49,12/14/2012,Alaska,Mallard,-N/A-
50,12/14/2012,Alaska,Mallard,-N/A-
51,4/6/2013,Alaska,Mallard,-N/A-
52,12/14/2012,Alaska,Mallard,-N/A-
53,12/14/2012,Alaska,Mallard,-N/A-
54,12/14/2012,Alaska,Mallard,-N/A-
55,12/14/2012,Alaska,Mallard,-N/A-
56,3/29/2013,Alaska,Mallard,-N/A-
57,4/2/2013,Alaska,Mallard,-N/A-
58,11/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
59,11/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
60,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
61,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
62,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
63,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
64,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
65,12/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
66,2/20/2013,Massachusetts,Yellow-LeggedGull,-N/A-
67,2/15/2013,Massachusetts,Yellow-LeggedGull,-N/A-
68,12/6/2012,Massachusetts,Yellow-LeggedGull,-N/A-
69,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
70,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
71,12/6/2012,Massachusetts,Yellow-LeggedGull,-N/A-
72,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
73,10/22/2012,Massachusetts,Yellow-LeggedGull,-N/A-
74,2/20/2013,Massachusetts,Yellow-LeggedGull,-N/A-
75,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
76,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
77,12/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
78,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
79,3/5/2013,Massachusetts,Yellow-LeggedGull,-N/A-
80,11/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
81,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
82,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
83,4/4/2013,Massachusetts,Yellow-LeggedGull,-N/A-
84,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
85,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
86,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
87,12/20/2012,Massachusetts,Yellow-LeggedGull,-N/A-
88,3/5/2013,Massachusetts,Yellow-LeggedGull,H9N1
89,10/11/2012,Massachusetts,Yellow-LeggedGull,-N/A-
90,2/15/2013,Massachusetts,Yellow-LeggedGull,-N/A-
91,2/7/2013,Massachusetts,Yellow-LeggedGull,-N/A-
92,11/9/2012,Massachusetts,Yellow-LeggedGull,-N/A-
93,1/2/2013,Maine,Bufflehead,H6N2
94,12/3/2012,Maine,CommonEider,-N/A-
95,9/4/2012,Ohio,Blue-WingedTeal,-N/A-
