CollectionDate,State,Subtype
4/8/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
2/11/2014,Nebraska,-N/A-
4/9/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
2/11/2014,Nebraska,-N/A-
3/14/2014,Oklahoma,-N/A-
3/11/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
3/11/2014,Nebraska,-N/A-
4/15/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
2/14/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
4/1/2014,Nebraska,-N/A-
6/4/2014,Illinois,-N/A-
2/14/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
4/18/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
3/20/2014,Georgia,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
3/7/2014,Georgia,-N/A-
4/18/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Nebraska,-N/A-
5/19/2014,Nebraska,-N/A-
6/4/2014,Illinois,-N/A-
4/8/2014,Illinois,-N/A-
3/7/2014,Georgia,-N/A-
4/2/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
2/1/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
2/1/2014,Nebraska,-N/A-
2/11/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
2/10/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
3/20/2014,Georgia,-N/A-
3/14/2014,Oklahoma,-N/A-
2/11/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
3/18/2014,Nebraska,-N/A-
6/16/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
3/19/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/15/2014,Nebraska,-N/A-
3/13/2014,Illinois,-N/A-
3/7/2014,Georgia,-N/A-
2/14/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
2/11/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
5/13/2014,Georgia,-N/A-
2/14/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
4/1/2014,Nebraska,-N/A-
2/11/2014,Nebraska,-N/A-
2/11/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
2/17/2014,Georgia,-N/A-
2/1/2014,Nebraska,-N/A-
3/20/2014,Georgia,-N/A-
4/16/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
3/6/2014,Georgia,-N/A-
4/15/2014,Georgia,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
6/4/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
2/17/2014,Georgia,-N/A-
5/5/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
4/2/2014,Nebraska,-N/A-
6/16/2014,Nebraska,-N/A-
6/4/2014,Illinois,-N/A-
4/18/2014,Nebraska,-N/A-
5/5/2014,Nebraska,-N/A-
2/11/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
4/18/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
4/8/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
3/14/2014,Oklahoma,-N/A-
2/17/2014,Georgia,-N/A-
2/17/2014,Georgia,-N/A-
3/18/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
4/1/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
4/2/2014,Georgia,-N/A-
4/18/2014,Nebraska,-N/A-
4/23/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
3/20/2014,Georgia,-N/A-
2/17/2014,Georgia,-N/A-
2/14/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
3/18/2014,Nebraska,-N/A-
3/11/2014,Illinois,-N/A-
3/11/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
3/19/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
2/14/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
2/17/2014,Georgia,-N/A-
2/17/2014,Georgia,-N/A-
4/18/2014,Nebraska,-N/A-
4/18/2014,Nebraska,-N/A-
7/1/2014,Nebraska,-N/A-
4/1/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
3/18/2014,Nebraska,-N/A-
4/8/2014,Illinois,-N/A-
6/4/2014,Illinois,-N/A-
4/18/2014,Nebraska,-N/A-
4/16/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
3/18/2014,Nebraska,-N/A-
6/3/2013,Illinois,-N/A-
7/15/2013,Georgia,-N/A-
7/15/2013,Nebraska,-N/A-
6/11/2013,Illinois,-N/A-
5/20/2013,Nebraska,-N/A-
5/13/2013,Nebraska,-N/A-
6/3/2013,Illinois,-N/A-
6/6/2013,Illinois,-N/A-
5/12/2013,Illinois,-N/A-
5/10/2013,Oklahoma,-N/A-
5/14/2013,Oklahoma,-N/A-
9/30/2013,Illinois,-N/A-
9/4/2013,Georgia,-N/A-
9/4/2013,Nebraska,-N/A-
8/23/2013,Nebraska,-N/A-
9/26/2013,Oklahoma,-N/A-
7/23/2013,Nebraska,-N/A-
8/7/2013,Nebraska,-N/A-
5/3/2013,Illinois,-N/A-
6/3/2013,Illinois,-N/A-
5/20/2013,Nebraska,-N/A-
6/3/2013,Illinois,-N/A-
6/10/2013,Nebraska,-N/A-
5/17/2013,Nebraska,-N/A-
9/6/2013,Illinois,-N/A-
7/23/2013,Nebraska,-N/A-
9/30/2013,Illinois,-N/A-
9/30/2013,Illinois,-N/A-
9/1/2013,Illinois,-N/A-
7/30/2013,Nebraska,-N/A-
5/7/2013,Nebraska,-N/A-
6/10/2013,Illinois,-N/A-
5/13/2013,Nebraska,-N/A-
8/19/2013,Nebraska,-N/A-
6/17/2013,Nebraska,-N/A-
5/17/2013,Nebraska,-N/A-
9/6/2013,Illinois,-N/A-
9/4/2013,Nebraska,-N/A-
8/27/2013,Nebraska,-N/A-
8/30/2013,Georgia,-N/A-
7/10/2013,Oklahoma,-N/A-
7/15/2013,Georgia,-N/A-
7/26/2013,Illinois,-N/A-
5/7/2013,Nebraska,-N/A-
6/6/2013,Illinois,-N/A-
6/6/2013,Nebraska,-N/A-
5/20/2013,Georgia,-N/A-
5/13/2013,Nebraska,-N/A-
5/12/2013,Illinois,-N/A-
6/17/2013,Georgia,-N/A-
7/1/2013,Illinois,-N/A-
5/17/2013,Nebraska,-N/A-
5/12/2013,Illinois,-N/A-
7/8/2013,Oklahoma,-N/A-
8/7/2013,Nebraska,-N/A-
9/4/2013,Georgia,-N/A-
7/8/2013,Illinois,-N/A-
7/8/2013,Illinois,-N/A-
5/17/2013,Nebraska,-N/A-
8/23/2013,Nebraska,-N/A-
9/1/2013,Illinois,-N/A-
9/1/2013,Illinois,-N/A-
9/1/2013,Illinois,-N/A-
6/10/2013,Illinois,-N/A-
5/12/2013,Illinois,-N/A-
6/6/2013,Nebraska,-N/A-
7/26/2013,Illinois,-N/A-
5/14/2013,Illinois,-N/A-
6/10/2013,Illinois,-N/A-
5/10/2013,Oklahoma,-N/A-
8/29/2013,Oklahoma,-N/A-
9/26/2013,Oklahoma,-N/A-
7/9/2013,Oklahoma,-N/A-
7/15/2013,Nebraska,-N/A-
6/10/2013,Illinois,-N/A-
5/13/2013,Nebraska,-N/A-
6/6/2013,Illinois,-N/A-
5/20/2013,Georgia,-N/A-
6/3/2013,Illinois,-N/A-
6/6/2013,Illinois,-N/A-
7/23/2013,Nebraska,-N/A-
8/7/2013,Nebraska,-N/A-
5/17/2013,Nebraska,-N/A-
5/12/2013,Illinois,-N/A-
9/4/2013,Nebraska,-N/A-
9/1/2013,Illinois,-N/A-
7/8/2013,Oklahoma,-N/A-
5/12/2013,Georgia,-N/A-
5/15/2013,Nebraska,-N/A-
5/20/2013,Nebraska,-N/A-
5/14/2013,Oklahoma,-N/A-
7/30/2013,Nebraska,-N/A-
7/30/2013,Illinois,-N/A-
5/15/2013,Nebraska,-N/A-
8/27/2013,Oklahoma,-N/A-
6/17/2013,Nebraska,-N/A-
5/13/2013,Oklahoma,-N/A-
9/1/2013,Illinois,-N/A-
6/10/2013,Illinois,-N/A-
8/19/2013,Nebraska,-N/A-
6/5/2013,Oklahoma,-N/A-
9/24/2013,Nebraska,-N/A-
9/4/2013,Georgia,-N/A-
10/1/2013,Georgia,-N/A-
7/15/2013,Georgia,-N/A-
5/20/2013,Georgia,-N/A-
6/24/2013,Nebraska,-N/A-
5/12/2013,Illinois,-N/A-
5/20/2013,Nebraska,-N/A-
5/20/2013,Nebraska,-N/A-
5/20/2013,Georgia,-N/A-
6/24/2013,Nebraska,-N/A-
5/14/2013,Oklahoma,-N/A-
5/14/2013,Oklahoma,-N/A-
5/13/2013,Nebraska,-N/A-
10/3/2013,Georgia,-N/A-
7/15/2013,Georgia,-N/A-
7/15/2013,Nebraska,-N/A-
6/27/2013,Illinois,-N/A-
9/24/2013,Nebraska,-N/A-
9/1/2013,Illinois,-N/A-
10/2/2013,Georgia,-N/A-
7/9/2013,Oklahoma,-N/A-
5/17/2013,Nebraska,-N/A-
9/23/2013,Oklahoma,-N/A-
8/26/2013,Oklahoma,-N/A-
10/1/2013,Georgia,-N/A-
9/4/2013,Georgia,-N/A-
8/19/2013,Nebraska,-N/A-
8/7/2013,Nebraska,-N/A-
5/13/2013,Nebraska,-N/A-
7/30/2013,Nebraska,-N/A-
7/30/2013,Illinois,-N/A-
5/17/2013,Nebraska,-N/A-
7/10/2013,Illinois,-N/A-
