State	Pop	FIPS
Alabama	4,858,979	01
Alaska	738,432	02
Arizona	6,828,065	04
Arkansas	2,978,204	05
California	39,144,818	06
Colorado	5,456,574	08
Connecticut	3,590,886	09
Delaware	672,228	10
DistrictofColumbia	945,934	11
Florida	20,271,272	12
Georgia	10,214,860	13
Hawaii	1,431,603	15
Idaho	1,654,930	16
Illinois	12,859,995	17
Indiana	6,619,680	18
Iowa	3,123,899	19
Kansas	2,911,641	20
Kentucky	4,425,092	21
Louisiana	4,670,724	22
Maine	1,329,328	23
Maryland	6,006,401	24
Massachusetts	6,794,422	25
Michigan	9,922,576	26
Minnesota	5,489,594	27
Mississippi	2,992,333	28
Missouri	6,083,672	29
Montana	1,032,949	30
Nebraska	1,896,190	31
Nevada	2,890,845	32
NewHampshire	1,330,608	33
NewMexico	8,958,013	35
NewJersey	2,085,109	34
NewYork	19,795,791	36
NorthDakota	10,042,802	38
NorthCarolina	756,927	37
Ohio	11,613,423	39
Oklahoma	3,911,338	40
Oregon	4,028,977	41
Pennsylvania	12,802,503	42
RhodeIsland	1,056,298	44
SouthCarolina	4,896,146	45
SouthDakota	858,469	46
Tennessee	6,600,299	47
Texas	27,469,114	48
Utah	2,995,919	49
Vermont	626,042	50
Virginia	8,382,993	51
Washington	7,170,351	53
WestVirginia	1,844,128	54
Wisconsin	5,771,337	55
Wyoming	586,107	56
